index,ReferenceTag,LanduseClass,TillageClass,CompactionClass,SamplingTimeClass,SoilTextureUSDA,AnnualPrecipitationClass,AnnualMeanTemperatureClass,BulkDensityClass,SoilOrganicCarbonClass,ExID,LocID_x,Latitude,Longitude,Precipitation,RefID,ReferenceYear,MTFID_x,Month1,Month2,YearExp,Reps,SE,SD,Tmin,Tmax,UpperD_m,Diameter,Diameter2,Diameter3,SoilTypeWRB,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,LocID_y,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Isothermality,Elevation,AverageAridityIndex,AverageAnnualEvapoTranspiration,MTFID_y,Ks,Kunsat,slope,R2,Hmin,intercept,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,SSPID_y,NbOfCropRotation,ExpName,Location,ClimateName,MethodName,MTFName,SPName,SMName,DatasetAddedBy,DatasetCheckedBy,LocComments,ReferenceName,DOI,ReferenceTitle,RefComments,Season,Method,Direction,Comment,SSPID_x,TextureClass,SoilTextureFAO,SoilType,SoilTypeClass,Comments_x,AridityClass,Landuse,Tillage,CurrentCrop,CropClass,CropRotation,CoverCrop,CoverCropClass,Residue,ResidueClass,Grazing,GrazingClass,Irrigation,IrrigationClass,Compaction,OtherAmendments,AmendmentClass,SamplingTime,Comments_y,Ks_sem,K1_sem,K2_sem,K3_sem,K4_sem,K5_sem,K6_sem,K7_sem,K8_sem,K9_sem,K10_sem
0,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,loam,"(500, 1000]","(10, 15]","(1.0, 1.2]","(0.01, 0.02]",596.0,2.0,43.6,1.4,255.0,2.0,2009.0,596.0,5.0,6.0,2005.0,6.0,,,0.0,150.0,0.15,8.0,,,,0.104,0.374,0.509,1.13,0.013,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,596.0,92.3788,2.6,1.75,0.99,13.0,3.914973,92.3788,43.46812,21.38017,12.92315,8.745323,6.356363,4.853464,3.842075,3.126432,2.6,596.0,,AllettoCT153P1,Alletto_2009_G,Alletto_2009_G,AllettoCT153P1,AllettoCT153P1,AllettoCT153P1,AllettoCT153P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,596,"medium (sandy loam, loam, sandy clay loam, sandy clay)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,unknown,seedbed -two passages,consolidated,during planting season,,,,,,,,,,,,
1,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,loam,"(500, 1000]","(10, 15]","(1.2, 1.4]","(0.01, 0.02]",576.6666666666666,2.0,43.6,1.3999999999999997,255.0,2.0,2009.0,576.6666666666666,6.333333333333333,8.666666666666666,2005.0,36.0,,,0.0,150.0,0.0,8.0,,,,0.104,0.37399999999999994,0.509,1.36,0.013,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,576.6666666666666,29.063066666666668,4.033333333333333,1.2333333333333334,0.9866666666666667,20.333333333333332,3.0723013333333333,29.063066666666668,29.063066666666668,17.92834,12.538253333333335,9.505743333333333,7.583562000000001,6.2664143333333335,5.312779333333333,4.593438333333334,4.033333333333333,576.6666666666666,,AllettoCTIR3P1,Alletto_2009_G,Alletto_2009_G,AllettoCTIR3P1,AllettoCTIR3P1,AllettoCTIR3P1,AllettoCTIR3P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,summer,Steady-state piecewise,Dry to wet,,572,"medium (sandy loam, loam, sandy clay loam, sandy clay)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,inter-row,seedbed -two passages,consolidated,during planting season,,2.9390968189413402,2.9390968189413402,2.9390968189413402,1.450488214234549,0.7906764226773033,0.46585949578005226,0.28391335564276193,0.17340430619637023,0.10296719628654122,0.057884801371152685,0.033333333333333215
2,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,loam,"(500, 1000]","(10, 15]","(1.4, 1.6]","(0.01, 0.02]",590.5,2.0,43.6,1.4,255.0,2.0,2009.0,590.5,7.5,8.0,2005.0,18.0,,,0.0,150.0,0.075,8.0,,,,0.104,0.374,0.509,1.46,0.013,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,590.5,26.31225,3.6500000000000004,1.1800000000000002,0.98,19.0,2.9222525,26.31225,24.46392,15.13536,10.769395,8.2724925,6.669542,5.559673500000001,4.7490415,4.1329275,3.6500000000000004,590.5,,AllettoCTR3P1,Alletto_2009_G,Alletto_2009_G,AllettoCTR3P1,AllettoCTR3P1,AllettoCTR3P1,AllettoCTR3P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,584,"medium (sandy loam, loam, sandy clay loam, sandy clay)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,row,seedbed -two passages,consolidated,during planting season,,3.8709500000000006,3.8709500000000006,2.0226200000000008,0.8849999999999997,0.4442850000000002,0.23065449999999998,0.11303800000000018,0.04281449999999975,0.0014764999999998805,0.030491500000000116,0.050000000000000155
3,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silt loam,"(500, 1000]","(10, 15]","(1.0, 1.2]","(0.0, 0.01]",582.0,2.0,43.6,1.4,255.0,2.0,2009.0,582.0,5.0,6.0,2005.0,18.0,,,0.0,150.0,0.075,8.0,,,,0.166,0.623,0.146,1.06,0.008,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,582.0,154.8603,8.55,1.325,0.975,12.5,3.575629,154.8603,71.39914999999999,41.55341,28.378345,21.14443,16.642505,13.602274999999999,11.4273925,9.803436000000001,8.55,582.0,,AllettoCTIR2P1,Alletto_2009_G,Alletto_2009_G,AllettoCTIR2P1,AllettoCTIR2P1,AllettoCTIR2P1,AllettoCTIR2P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,570,"medium-fine (silt loam, silt)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,inter-row,seedbed -two passages,consolidated,during planting season,,64.5507,64.5507,6.713910000000008,1.1387100000000014,0.569115,1.2013099999999992,1.443574999999999,1.5224049999999996,1.5269574999999997,1.4965740000000003,1.4500000000000004
4,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silt loam,"(500, 1000]","(10, 15]","(1.2, 1.4]","(0.0, 0.01]",582.5,2.0,43.6,1.4,255.0,2.0,2009.0,582.5,6.0,8.0,2005.0,24.0,,,0.0,150.0,0.0,8.0,,,,0.166,0.623,0.146,1.3599999999999999,0.008,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,582.5,25.97965,4.25,1.105,0.99,19.5,2.831519,25.97965,25.127384999999997,16.058915,11.6886935,9.136164,7.470288999999999,6.3011465,5.437374500000001,4.7743105,4.25,582.5,,AllettoCTR2P1,Alletto_2009_G,Alletto_2009_G,AllettoCTR2P1,AllettoCTR2P1,AllettoCTR2P1,AllettoCTR2P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,582,"medium-fine (silt loam, silt)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,row,seedbed -two passages,consolidated,during planting season,,5.090350000000001,5.090350000000001,4.238084999999999,2.7401649999999997,2.0107865,1.5815659999999998,1.2997919999999994,1.1010764999999998,0.9536574999999999,0.8400884999999999,0.7499999999999999
5,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silt loam,"(500, 1000]","(10, 15]","(1.4, 1.6]","(0.0, 0.01]",583.0,2.0,43.6,1.4,255.0,2.0,2009.0,583.0,8.5,10.0,2005.0,18.0,,,0.0,150.0,0.075,8.0,,,,0.166,0.623,0.146,1.46,0.008,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,583.0,28.82385,4.8,1.04,0.97,18.0,2.7603915,28.82385,25.548465,16.762439999999998,12.43129,9.8592,8.1582835,6.9514215,6.051397,5.3548265,4.8,583.0,,AllettoCTIR2P2,Alletto_2009_G,Alletto_2009_G,AllettoCTIR2P2,AllettoCTIR2P2,AllettoCTIR2P2,AllettoCTIR2P2,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,summer,Steady-state piecewise,Dry to wet,,571,"medium-fine (silt loam, silt)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,inter-row,seedbed -two passages,consolidated,during planting season,,3.640650000000001,3.640650000000001,0.3652650000000008,0.44346999999999864,0.43607000000000035,0.4117499999999996,0.38524749999999947,0.3603255000000001,0.3378439999999998,0.31781349999999997,0.2999999999999998
6,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silty clay loam,"(500, 1000]","(10, 15]","(0.0, 1.0]","(0.0, 0.01]",592.0,2.0,43.6,1.4,255.0,2.0,2009.0,592.0,5.0,6.0,2005.0,6.0,,,0.0,150.0,0.15,8.0,,,,0.32,0.502,0.109,0.97,0.01,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,592.0,156.7734,1.8,1.94,0.98,10.0,4.135273,156.7734,40.85774,18.60618,10.6482,6.906702,4.849077,3.595691,2.775095,2.208218,1.8,592.0,,AllettoCT151P1,Alletto_2009_G,Alletto_2009_G,AllettoCT151P1,AllettoCT151P1,AllettoCT151P1,AllettoCT151P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,592,"fine (clay, silty clay, clay loam, silty clay loam)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,unknown,seedbed -two passages,consolidated,during planting season,,,,,,,,,,,,
7,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silty clay loam,"(500, 1000]","(10, 15]","(1.0, 1.2]","(0.0, 0.01]",568.0,2.0,43.6,1.4,255.0,2.0,2009.0,568.0,5.0,6.0,2005.0,12.0,,,0.0,150.0,0.0,8.0,,,,0.32,0.502,0.109,1.09,0.01,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,568.0,82.4557,6.9,1.4,0.99,17.0,3.638849,82.4557,65.67606,37.22883,24.88657,18.20921,14.10709,11.36873,9.430248,7.996677,6.9,568.0,,AllettoCTIR1P1,Alletto_2009_G,Alletto_2009_G,AllettoCTIR1P1,AllettoCTIR1P1,AllettoCTIR1P1,AllettoCTIR1P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,568,"fine (clay, silty clay, clay loam, silty clay loam)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,inter-row,seedbed -two passages,consolidated,during planting season,,,,,,,,,,,,
8,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silty clay loam,"(500, 1000]","(10, 15]","(1.2, 1.4]","(0.0, 0.01]",580.5,2.0,43.6,1.4,255.0,2.0,2009.0,580.5,6.0,8.0,2005.0,24.0,,,0.0,150.0,0.0,8.0,,,,0.32,0.502,0.109,1.37,0.01,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,580.5,29.44945,5.45,1.01,0.98,18.5,2.7404545000000002,29.44945,26.94945,18.446939999999998,13.784515,10.99632,9.1423785,7.8209979999999995,6.831789,6.0636415,5.45,580.5,,AllettoCTR1P1,Alletto_2009_G,Alletto_2009_G,AllettoCTR1P1,AllettoCTR1P1,AllettoCTR1P1,AllettoCTR1P1,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,spring,Steady-state piecewise,Dry to wet,,580,"fine (clay, silty clay, clay loam, silty clay loam)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,row,seedbed -two passages,consolidated,during planting season,,4.449449999999999,4.449449999999999,6.949449999999999,5.113609999999999,3.7845150000000007,2.99632,2.475711499999999,2.106711999999999,1.8317889999999994,1.6191975000000003,1.4500000000000002
9,Alletto_2009_G,arable,conventional tillage,unknown,consolidated,silty clay loam,"(500, 1000]","(10, 15]","(1.4, 1.6]","(0.0, 0.01]",581.0,2.0,43.6,1.4,255.0,2.0,2009.0,581.0,8.5,10.0,2005.0,18.0,,,0.0,150.0,0.075,8.0,,,,0.32,0.502,0.109,1.4649999999999999,0.01,2.0,13.26667,20.76667,6.5,670.0,76.0,44.0,15.40941,207.0,146.0,159.0,157.0,9.75,589.2921,27.7,2.0,25.7,15.23333,20.6,37.93774,145.0,0.5522,1213.0,581.0,35.658649999999994,3.75,1.255,0.975,16.0,3.0625845,35.658649999999994,26.904764999999998,16.212955,11.365909,8.6492085,6.9295505,5.7512445,4.897521,4.252776,3.75,581.0,,AllettoCTIR1P2,Alletto_2009_G,Alletto_2009_G,AllettoCTIR1P2,AllettoCTIR1P2,AllettoCTIR1P2,AllettoCTIR1P2,Nick,Helena,,"Alletto and Coquet 2009. Geoderma 152, 85-94",10.1016/j.geoderma.2009.05.023,Temporal and spatial variability of soil bulk density and near-saturated hydraulic conductivity under two contrasted tillage management systems,temporal variations of K in three soils of contrasting texture,summer,Steady-state piecewise,Dry to wet,,569,"fine (clay, silty clay, clay loam, silty clay loam)",medium,Gleyic Luvisol,Luvisols,,Dry sub-humid,arable/ Experimental Farm ,Conventional tillage,maize,maize,unknown,unknown,unknown,no,no,unknown,unknown,pivot sprinkler,irrigated,inter-row,seedbed -two passages,consolidated,during planting season,,2.0949500000000025,2.0949500000000025,0.3517050000000017,1.1338250000000007,1.4583709999999994,1.4963915000000003,1.4483895000000002,1.3747114999999999,1.2961989999999999,1.2204259999999998,1.15
