ExID,ExpName,ReferenceTag,Location,ClimateName,MethodName,MTFName,SPName,SMName,DatasetAddedBy,DatasetCheckedBy,LocID_x,Latitude,Longitude,Precipitation,LocComments,RefID,ReferenceYear,ReferenceName,DOI,ReferenceTitle,RefComments,MTFID_x,Month1,Month2,Season,YearExp,Reps,SE,SD,Method,Direction,Tmin,Tmax,UpperD_m,Diameter,Diameter2,Diameter3,Comment,SSPID_x,TextureClass,SoilTextureUSDA,SoilTextureFAO,SoilType,SoilTypeClass,SoilTypeWRB,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,Comments_x,LocID_y,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Isothermality,Elevation,AverageAridityIndex,AverageAnnualEvapoTranspiration,AridityClass,MTFID_y,Ks,Kunsat,slope,R2,Hmin,intercept,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,SSPID_y,Landuse,LanduseClass,Tillage,TillageClass,NbOfCropRotation,CurrentCrop,CropClass,CropRotation,CoverCrop,CoverCropClass,Residue,ResidueClass,Grazing,GrazingClass,Irrigation,IrrigationClass,Compaction,CompactionClass,OtherAmendments,AmendmentClass,SamplingTime,SamplingTimeClass,Comments_y
1,Bod1NatGrass,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bod1NatGrass,Bod1NatGrass,Bod1NatGrass,Bod1NatGrass,Nick,Helena,16,52.0,-106.0,360.0,,16,2004,Bodhinayake & Si. 2004. Hydrological Processes.18:2835-2850,10.1002/hyp.1497,"Near-saturated surface soil hydraulic properties under different land uses in the St Denis National Wildlife Area, Saskatchewan, Canada","effects of natural grass vs. cultivated. Higher K very near sat. for natural grass, no diff. at higher tensions",1,9.0,11.0,summer,2002.0,18.0,,,Steady-state constant  regression,Dry to wet,0.0,220.0,0.0,20.0,,,,clay loam,"fine (clay, silty clay, clay loam, silty clay loam)",clay loam,medium,Orthic Dark Brown Chernozems (Typic Haplustolls),Chernozems,,0.34,0.38,0.28,0.82,0.059,,16,2.020833,17.08333,-15.1,397.0,66.0,11.0,58.53895,182.0,45.0,179.0,45.0,11.90833,1312.741,24.6,-22.4,47.0,15.13333,-12.4333,25.33688,522.0,0.4133,960.0,Semi-Arid,1,103.5459,5.1,1.42,0.92,12.0,3.54757,103.5459,50.13114,28.18759,18.73462,13.64686,10.53405,8.463129,7.00136,5.923056,5.1,1,grassland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
2,Bod1BroGrass,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bod1BroGrass,Bod1BroGrass,Bod1BroGrass,Bod1BroGrass,Nick,Helena,16,52.0,-106.0,360.0,,16,2004,Bodhinayake & Si. 2004. Hydrological Processes.18:2835-2850,10.1002/hyp.1497,"Near-saturated surface soil hydraulic properties under different land uses in the St Denis National Wildlife Area, Saskatchewan, Canada","effects of natural grass vs. cultivated. Higher K very near sat. for natural grass, no diff. at higher tensions",2,9.0,11.0,summer,2002.0,18.0,,,Steady-state constant  regression,Dry to wet,0.0,220.0,0.0,20.0,,,,2,"fine (clay, silty clay, clay loam, silty clay loam)",clay loam,medium,Orthic Dark Brown Chernozems (Typic Haplustolls),Chernozems,,0.34,0.39,0.27,0.81,0.052,,16,2.020833,17.08333,-15.1,397.0,66.0,11.0,58.53895,182.0,45.0,179.0,45.0,11.90833,1312.741,24.6,-22.4,47.0,15.13333,-12.4333,25.33688,522.0,0.4133,960.0,Semi-Arid,2,112.6093,4.2,1.49,0.95,11.0,3.603249,112.6093,46.20773,25.25449,16.45053,11.79734,8.990916,7.145839,5.856595,4.913919,4.2,2,grassland (brom),grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
3,Bod1CulCan,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bodhinayake_2004_HP,Bod1CulCan,Bod1CulCan,Bod1CulCan,Bod1CulCan,Nick,Helena,16,52.0,-106.0,360.0,,16,2004,Bodhinayake & Si. 2004. Hydrological Processes.18:2835-2850,10.1002/hyp.1497,"Near-saturated surface soil hydraulic properties under different land uses in the St Denis National Wildlife Area, Saskatchewan, Canada","effects of natural grass vs. cultivated. Higher K very near sat. for natural grass, no diff. at higher tensions",3,9.0,11.0,summer,2002.0,18.0,,,Steady-state constant  regression,Dry to wet,0.0,220.0,0.0,20.0,,,,3,"fine (clay, silty clay, clay loam, silty clay loam)",clay loam,fine,Orthic Dark Brown Chernozems (Typic Haplustolls),Chernozems,,0.37,0.34,0.29,1.11,0.036,,16,2.020833,17.08333,-15.1,397.0,66.0,11.0,58.53895,182.0,45.0,179.0,45.0,11.90833,1312.741,24.6,-22.4,47.0,15.13333,-12.4333,25.33688,522.0,0.4133,960.0,Semi-Arid,3,27.3088,3.6,0.88,0.99,10.0,2.316303,27.3088,14.83871,10.3857,8.062871,6.625351,5.643251,4.927382,4.381101,3.949745,3.6,3,Arable,arable,Conventional tillage,conventional tillage,3.0,canola,rape,"Wheat, Canola, ""Fallow""",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,after harvest,consolidated,
5,CamConvTillMay,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamConvTillMay,CamConvTillMay,CamConvTillMay,CamConvTillMay,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,5,5.0,5.0,spring,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,5,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,5,162.0016,8.7,1.27,1.0,10.0,3.479519,162.0016,67.17554,40.13981,27.85499,20.98106,16.64436,13.685,11.55035,9.945606,8.7,5,arable/ Experimental Farm,arable,Conventional tillage,conventional tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after tillage (may),soon after tillage,
6,CamConvTillJune,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamConvTillJune,CamConvTillJune,CamConvTillJune,CamConvTillJune,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,6,6.0,6.0,spring,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,6,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,6,74.6669,9.4,0.9,0.96,10.0,2.773128,74.6669,40.01298,27.77914,21.44242,17.54102,14.88647,12.95805,11.49071,10.33498,9.4,6,arable/ Experimental Farm,arable,Conventional tillage,conventional tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after first irrigation (june),consolidated,
7,CamConvTillJuly,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamConvTillJuly,CamConvTillJuly,CamConvTillJuly,CamConvTillJuly,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,7,7.0,7.0,summer,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,7,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,7,94.803,8.2,0.87,1.0,6.0,2.653814,60.78744,33.25966,23.37321,18.19792,14.98684,12.78858,11.18352,9.956933,8.987168,8.2,7,arable/ Experimental Farm,arable,Conventional tillage,conventional tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after second irrigation (july),consolidated,
8,CamConvTillAugust,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamConvTillAugust,CamConvTillAugust,CamConvTillAugust,CamConvTillAugust,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,8,8.0,8.0,summer,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,8,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,8,179.7448,3.5,1.4,1.0,6.0,3.344068,87.91603,33.31394,18.88419,12.62362,9.236555,7.155769,5.766746,4.783459,4.056286,3.5,8,arable/ Experimental Farm,arable,Conventional tillage,conventional tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after fourth irrigation (august),consolidated,
9,CamConvTillSeptember,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamConvTillSeptember,CamConvTillSeptember,CamConvTillSeptember,CamConvTillSeptember,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,9,9.0,9.0,summer,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,9,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,9,103.9994,3.9,1.67,0.98,14.0,3.931065,103.9994,57.32506,29.12541,18.01459,12.41037,9.152759,7.075398,5.661146,4.650285,3.9,9,arable/ Experimental Farm,arable,Conventional tillage,conventional tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after harvest (september),consolidated,
10,CamMinTillMay,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamMinTillMay,CamMinTillMay,CamMinTillMay,CamMinTillMay,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,10,5.0,5.0,spring,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,10,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,10,231.0479,3.8,1.05,0.98,2.0,2.679784,42.6367,20.59217,13.4526,9.945362,7.868013,6.497178,5.526252,4.803293,4.244524,3.8,10,arable/ Experimental Farm,arable,Minimum Tillage,reduced tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after tillage (may),soon after tillage,
11,CamMinTillJune,Cameira_2003_SaTR,Cameira_2003_SaTR,Cameira_2003_SaTR,CamMinTillJune,CamMinTillJune,CamMinTillJune,CamMinTillJune,Nick,Helena,23,39.0,-8.5,,,23,2003,Cameira et al. 2003. Soil & Tillage Research. 70:131-140,10.1016/s0167-1987(02)00154-x,Soil macropore dynamics affected by tillage and irrigation for a silty loam alluvial soil in southern Portugal,effects of tillage systems and irrigation,11,6.0,6.0,spring,1998.0,9.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.005,20.0,,,,11,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Eutric Fluvisol,Fluvisols,,0.164,0.279,0.557,,0.073256,,23,16.4625,22.26667,11.05,692.0,109.0,5.0,61.841,305.0,32.0,39.0,289.0,10.00833,455.143,29.4,6.5,22.9,11.85,21.98333,43.70451,82.0,0.4588,1508.0,Semi-Arid,11,238.3518,3.1,1.11,1.0,2.0,2.711362,39.93574,18.50199,11.79661,8.571861,6.691215,5.465297,4.605777,3.971292,3.484597,3.1,11,arable/ Experimental Farm,arable,Minimum Tillage,reduced tillage,,Maize,maize,Maize,unknown,unknown,yes,yes,unknown,unknown,Irrigation (level basin),irrigated,unknown,unknown,unknown,unknown,after first irrigation (june),consolidated,
